,Time,LBA,PBA,Ops,Zone-idx,WA_1,WA_2
0,541.515606,0,456,w,0,-1,-1
1,541.515674,1,457,w,0,-1,-1
2,541.515724,2,458,w,0,-1,-1
3,541.515760,3,459,w,0,-1,-1
4,541.515794,4,460,w,0,-1,-1
5,541.515840,5,461,w,0,-1,-1
6,541.515883,6,462,w,0,-1,-1
7,541.515927,7,463,w,0,-1,-1
8,541.515971,8,464,w,0,-1,-1
9,541.516013,9,465,w,0,-1,-1
10,541.516056,10,466,w,0,-1,-1
11,541.516095,11,467,w,0,-1,-1
12,541.516129,12,468,w,0,-1,-1
13,541.516168,13,469,w,0,-1,-1
14,541.516206,14,470,w,0,-1,-1
15,541.516247,15,471,w,0,-1,-1
16,541.516296,16,472,w,0,-1,-1
17,541.516340,17,473,w,0,-1,-1
18,541.516391,18,474,w,0,-1,-1
19,541.516431,19,475,w,0,-1,-1
20,541.516484,20,476,w,0,-1,-1
21,541.516527,21,477,w,0,-1,-1
22,541.516566,22,478,w,0,-1,-1
23,541.516618,23,479,w,0,-1,-1
24,541.516656,24,480,w,0,-1,-1
25,541.516705,25,481,w,0,-1,-1
26,541.516877,26,482,w,0,-1,-1
27,541.516920,27,483,w,0,-1,-1
28,541.516963,28,484,w,0,-1,-1
29,541.517001,29,485,w,0,-1,-1
30,541.517040,30,486,w,0,-1,-1
31,541.517078,31,487,w,0,-1,-1
32,541.517116,32,488,w,0,-1,-1
33,541.517155,33,489,w,0,-1,-1
34,541.517193,34,490,w,0,-1,-1
35,541.517232,35,491,w,0,-1,-1
36,541.517280,36,492,w,0,-1,-1
37,541.517339,37,493,w,0,-1,-1
38,541.517408,38,494,w,0,-1,-1
39,541.517460,39,495,w,0,-1,-1
40,541.517500,40,496,w,0,-1,-1
41,541.518444,41,497,w,0,-1,-1
42,541.518538,42,498,w,0,-1,-1
43,541.518589,43,499,w,0,-1,-1
44,541.518637,44,500,w,0,-1,-1
45,541.518684,45,501,w,0,-1,-1
46,541.518731,46,502,w,0,-1,-1
47,541.518770,47,503,w,0,-1,-1
48,541.518818,48,504,w,0,-1,-1
49,541.518863,49,505,w,0,-1,-1
50,541.518908,50,506,w,0,-1,-1
51,541.518954,51,507,w,0,-1,-1
52,541.518992,52,508,w,0,-1,-1
53,541.519042,53,509,w,0,-1,-1
54,541.519080,54,510,w,0,-1,-1
55,541.519118,55,511,w,0,-1,-1
56,541.519156,56,512,w,0,-1,-1
57,541.519195,57,513,w,0,-1,-1
58,541.519243,58,514,w,0,-1,-1
59,541.519302,59,515,w,0,-1,-1
60,541.519343,60,516,w,0,-1,-1
61,541.519384,61,517,w,0,-1,-1
62,541.519427,62,518,w,0,-1,-1
63,541.519470,63,519,w,0,-1,-1
64,541.519512,64,520,w,0,-1,-1
65,541.519551,65,521,w,0,-1,-1
66,541.519601,66,522,w,0,-1,-1
67,541.519639,67,523,w,0,-1,-1
68,541.519678,68,524,w,0,-1,-1
69,541.519726,69,525,w,0,-1,-1
70,541.519770,70,526,w,0,-1,-1
71,541.519812,71,527,w,0,-1,-1
72,541.519855,72,528,w,0,-1,-1
73,541.519898,73,529,w,0,-1,-1
74,541.519941,74,530,w,0,-1,-1
